,impact,citation,current volume,current issue,current date,name,code,nr_articles,doi
0,['Impact Factor 2019: 20.832'],"['Citations 2019: 72,738']",['Volume 53'],['Issue 7'],"['July 21, 2020']",Accounts of Chemical Research,achre4,16,https://pubs.acs.org/doi/10.1021/acs.accounts.0c00383
0,['Impact Factor 2019: 20.832'],"['Citations 2019: 72,738']",['Volume 53'],['Issue 7'],"['July 21, 2020']",Accounts of Chemical Research,achre4,16,https://pubs.acs.org/doi/10.1021/acs.accounts.0c00116
0,['Impact Factor 2019: 20.832'],"['Citations 2019: 72,738']",['Volume 53'],['Issue 7'],"['July 21, 2020']",Accounts of Chemical Research,achre4,16,https://pubs.acs.org/doi/10.1021/acs.accounts.0c00150
0,['Impact Factor 2019: 20.832'],"['Citations 2019: 72,738']",['Volume 53'],['Issue 7'],"['July 21, 2020']",Accounts of Chemical Research,achre4,16,https://pubs.acs.org/doi/10.1021/acs.accounts.0c00112
0,['Impact Factor 2019: 20.832'],"['Citations 2019: 72,738']",['Volume 53'],['Issue 7'],"['July 21, 2020']",Accounts of Chemical Research,achre4,16,https://pubs.acs.org/doi/10.1021/acs.accounts.0c00152
0,['Impact Factor 2019: 20.832'],"['Citations 2019: 72,738']",['Volume 53'],['Issue 7'],"['July 21, 2020']",Accounts of Chemical Research,achre4,16,https://pubs.acs.org/doi/10.1021/acs.accounts.0c00171
0,['Impact Factor 2019: 20.832'],"['Citations 2019: 72,738']",['Volume 53'],['Issue 7'],"['July 21, 2020']",Accounts of Chemical Research,achre4,16,https://pubs.acs.org/doi/10.1021/acs.accounts.0c00172
0,['Impact Factor 2019: 20.832'],"['Citations 2019: 72,738']",['Volume 53'],['Issue 7'],"['July 21, 2020']",Accounts of Chemical Research,achre4,16,https://pubs.acs.org/doi/10.1021/acs.accounts.0c00199
0,['Impact Factor 2019: 20.832'],"['Citations 2019: 72,738']",['Volume 53'],['Issue 7'],"['July 21, 2020']",Accounts of Chemical Research,achre4,16,https://pubs.acs.org/doi/10.1021/acs.accounts.0c00215
0,['Impact Factor 2019: 20.832'],"['Citations 2019: 72,738']",['Volume 53'],['Issue 7'],"['July 21, 2020']",Accounts of Chemical Research,achre4,16,https://pubs.acs.org/doi/10.1021/acs.accounts.0c00238
0,['Impact Factor 2019: 20.832'],"['Citations 2019: 72,738']",['Volume 53'],['Issue 7'],"['July 21, 2020']",Accounts of Chemical Research,achre4,16,https://pubs.acs.org/doi/10.1021/acs.accounts.0c00243
0,['Impact Factor 2019: 20.832'],"['Citations 2019: 72,738']",['Volume 53'],['Issue 7'],"['July 21, 2020']",Accounts of Chemical Research,achre4,16,https://pubs.acs.org/doi/10.1021/acs.accounts.0c00256
0,['Impact Factor 2019: 20.832'],"['Citations 2019: 72,738']",['Volume 53'],['Issue 7'],"['July 21, 2020']",Accounts of Chemical Research,achre4,16,https://pubs.acs.org/doi/10.1021/acs.accounts.0c00268
0,['Impact Factor 2019: 20.832'],"['Citations 2019: 72,738']",['Volume 53'],['Issue 7'],"['July 21, 2020']",Accounts of Chemical Research,achre4,16,https://pubs.acs.org/doi/10.1021/acs.accounts.0c00312
0,['Impact Factor 2019: 20.832'],"['Citations 2019: 72,738']",['Volume 53'],['Issue 7'],"['July 21, 2020']",Accounts of Chemical Research,achre4,16,https://pubs.acs.org/doi/10.1021/arv053i007_1396250
0,['Impact Factor 2019: 20.832'],"['Citations 2019: 72,738']",['Volume 53'],['Issue 7'],"['July 21, 2020']",Accounts of Chemical Research,achre4,16,https://pubs.acs.org/doi/10.1021/arv053i007_1396247
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00154
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00581
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00719
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00877
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00294
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00297
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00301
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00312
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00317
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00332
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00334
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00342
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00351
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00354
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00377
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00393
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00412
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00421
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00426
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00427
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00444
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00478
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00488
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00492
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00310
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00497
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00514
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00517
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00522
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00530
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00537
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00551
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00555
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00567
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00573
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00579
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00580
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00588
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00590
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00591
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00592
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00595
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00606
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00608
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00610
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00589
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00616
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00614
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00626
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00630
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00373
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00629
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00637
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00641
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00642
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00648
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00649
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00651
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00653
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00658
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00665
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00666
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00670
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00671
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00695
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00702
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00709
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00712
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00650
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00829
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00757
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/acsabm.0c00886
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/mtv003i008_1403608
1,[''],[''],['Volume 3'],['Issue 8'],"['August 17, 2020']",ACS Applied Bio Materials,aabmcb,74,https://pubs.acs.org/doi/10.1021/mtv003i008_1403607
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00513
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00105
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00180
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00278
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00242
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00313
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00343
2,[''],[''],['Volume 2'],['Issue 7'],"['July 28, 2020']",ACS Applied Electronic Materials,aaembp,61,https://pubs.acs.org/doi/10.1021/acsaelm.0c00349
